报案号1,	报案号2,	关系
9020003202008006679,	9020003202010005805,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202008006679,	9020003202014001736,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202008006679,	9020003312014000451,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202008012700,	9020003202009011726,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202008012700,	9020003202010005805,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202008012700,	9020003202014001736,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202008012700,	9020003312014000451,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202009011726,	9020003202010005805,	"['同报案电话', '同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202009011726,	9020003202014001736,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202009011726,	9020003312014000451,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202009011726,	9020003262008055348,	['同报案电话']
9020003202009011726,	9020003262011019424,	['同报案电话']
9020003202009011726,	9020003262012001265,	['同报案电话']
9020003202009011726,	9020003262012006942,	['同报案电话']
9020003202010005805,	9020003202014001736,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202010005805,	9020003312014000451,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202010005805,	9020003262008055348,	['同报案电话']
9020003202010005805,	9020003262011019424,	['同报案电话']
9020003202010005805,	9020003262012001265,	['同报案电话']
9020003202010005805,	9020003262012006942,	['同报案电话']
9020003202014001736,	9020003312014000451,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号', '同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202014001736,	9020003202014003282,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014001736,	9020003312014000948,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014001736,	9020003312014001532,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014001736,	9020003312015000083,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014001736,	9020003262016002915,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014001736,	9020003262016006624,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014001736,	9020003202016006081,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014001736,	9020003202009004028,	['同报案电话']
9020003202014001736,	9020003202009011396,	['同报案电话']
9020003202014001736,	9020003262012013949,	['同报案电话']
9020003202014001736,	9020003202012006645,	['同报案电话']
9020003202014001736,	9020003202014000059,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014001736,	9025603362019000026,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014001736,	9025603362017000027,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014001736,	9025103202014000015,	['同报案电话']
9020003202014001736,	9020003262014005920,	['同报案电话']
9020003202014001736,	9020003202015000152,	['同报案电话']
9020003202014001736,	9020003262015000359,	['同报案电话']
9020003202014001736,	9025603202015000063,	['同报案电话']
9020003202014001736,	9025603202015000177,	['同报案电话']
9020003202014001736,	9025603202018000010,	['同报案电话']
9020003312014000451,	9020003202014003282,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003312014000451,	9020003312014000948,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003312014000451,	9020003312014001532,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003312014000451,	9020003312015000083,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003312014000451,	9020003262016002915,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003312014000451,	9020003262016006624,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003312014000451,	9020003202016006081,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003312014000451,	9020003202009004028,	['同报案电话']
9020003312014000451,	9020003202009011396,	['同报案电话']
9020003312014000451,	9020003262012013949,	['同报案电话']
9020003312014000451,	9020003202012006645,	['同报案电话']
9020003312014000451,	9020003202014000059,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003312014000451,	9025603362019000026,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003312014000451,	9025603362017000027,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003312014000451,	9025103202014000015,	['同报案电话']
9020003312014000451,	9020003262014005920,	['同报案电话']
9020003312014000451,	9020003202015000152,	['同报案电话']
9020003312014000451,	9020003262015000359,	['同报案电话']
9020003312014000451,	9025603202015000063,	['同报案电话']
9020003312014000451,	9025603202015000177,	['同报案电话']
9020003312014000451,	9025603202018000010,	['同报案电话']
9020003202014003282,	9020003312014000948,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号', '同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9020003202014003282,	9020003312014001532,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014003282,	9020003312015000083,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014003282,	9020003262016002915,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014003282,	9020003262016006624,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014003282,	9020003202016006081,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014003282,	9020003202009004028,	['同报案电话']
9020003202014003282,	9020003202009011396,	['同报案电话']
9020003202014003282,	9020003262012013949,	['同报案电话']
9020003202014003282,	9020003202012006645,	['同报案电话']
9020003202014003282,	9020003202014000059,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014003282,	9025603362019000026,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014003282,	9025603362017000027,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202014003282,	9025103202014000015,	['同报案电话']
9020003202014003282,	9020003262014005920,	['同报案电话']
9020003202014003282,	9020003202015000152,	['同报案电话']
9020003202014003282,	9020003262015000359,	['同报案电话']
